date,sat,precip,temp,hum,wind,soil,OT,temp_f,hum_f,wind_f,precip_f
2024-01-19 00:00:00,0,0.00,45.7,100,1.5,45.0,19.3,8.4,89.0,5.4,0.0
2024-01-19 00:10:00,0,0.00,45.7,100,1.5,45.0,19.31,8.4,89.0,5.4,0.0
2024-01-19 00:20:00,0,0.00,45.7,100,1.5,45.0,19.31,8.4,89.0,5.4,0.0
2024-01-19 00:30:00,0,0.00,45.7,100,1.5,45.0,19.31,8.4,89.0,5.4,0.0
2024-01-19 00:40:00,0,0.00,45.7,100,1.5,45.0,19.31,8.4,89.0,5.4,0.0
2024-01-19 00:50:00,0,0.00,45.7,100,1.5,45.0,19.31,8.4,89.0,5.4,0.0
2024-01-19 01:00:00,0,0.00,45.9,100,2.6,45.0,19.31,8.1,90.0,4.5,0.0
2024-01-19 01:10:00,0,0.00,45.9,100,2.6,45.0,19.3,8.1,90.0,4.5,0.0
2024-01-19 01:20:00,0,0.00,45.9,100,2.6,45.0,19.3,8.1,90.0,4.5,0.0
2024-01-19 01:30:00,0,0.00,45.9,100,2.6,45.0,19.3,8.1,90.0,4.5,0.0
2024-01-19 01:40:00,0,0.00,45.9,100,2.6,45.0,19.31,8.1,90.0,4.5,0.0
2024-01-19 01:50:00,0,0.00,45.9,100,2.6,45.0,19.31,8.1,90.0,4.5,0.0
2024-01-19 02:00:00,0,0.00,46.0,100,2.6,45.0,19.3,7.6,94.0,7.6,0.0
2024-01-19 02:10:00,0,0.00,46.0,100,2.6,45.0,19.31,7.6,94.0,7.6,0.0
2024-01-19 02:20:00,0,0.00,46.0,100,2.6,45.0,19.31,7.6,94.0,7.6,0.0
2024-01-19 02:30:00,0,0.00,46.0,100,2.6,45.0,19.3,7.6,94.0,7.6,0.0
2024-01-19 02:40:00,0,0.00,46.0,100,2.6,45.0,19.3,7.6,94.0,7.6,0.0
2024-01-19 02:50:00,0,0.00,46.0,100,2.6,45.0,19.3,7.6,94.0,7.6,0.0
2024-01-19 03:00:00,0,0.00,45.1,100,1.2,45.0,19.31,7.4,97.0,2.1,0.0
2024-01-19 03:10:00,0,0.00,45.1,100,1.2,45.0,19.31,7.4,97.0,2.1,0.0
2024-01-19 03:20:00,0,0.00,45.1,100,1.2,45.0,19.31,7.4,97.0,2.1,0.0
2024-01-19 03:30:00,0,0.00,45.1,100,1.2,45.0,19.31,7.4,97.0,2.1,0.0
2024-01-19 03:40:00,0,0.00,45.1,100,1.2,45.0,19.31,7.4,97.0,2.1,0.0
2024-01-19 03:50:00,0,0.00,45.1,100,1.2,45.0,19.31,7.4,97.0,2.1,0.0
2024-01-19 04:00:00,0,0.00,45.0,100,1.5,45.0,19.3,8.2,92.0,3.8,0.0
2024-01-19 04:10:00,0,0.00,45.0,100,1.5,45.0,19.31,8.2,92.0,3.8,0.0
2024-01-19 04:20:00,0,0.00,45.0,100,1.5,45.0,19.31,8.2,92.0,3.8,0.0
2024-01-19 04:30:00,0,0.00,45.0,100,1.5,45.0,19.3,8.2,92.0,3.8,0.0
2024-01-19 04:40:00,0,0.00,45.0,100,1.5,45.0,19.31,8.2,92.0,3.8,0.0
2024-01-19 04:50:00,0,0.00,45.0,100,1.5,45.0,19.31,8.2,92.0,3.8,0.0
2024-01-19 05:00:00,0,0.00,45.7,100,2.5,45.0,19.31,7.7,91.0,1.3,0.0
2024-01-19 05:10:00,0,0.00,45.7,100,2.5,45.0,19.31,7.7,91.0,1.3,0.0
2024-01-19 05:20:00,0,0.00,45.7,100,2.5,45.0,19.31,7.7,91.0,1.3,0.0
2024-01-19 05:30:00,0,0.00,45.7,100,2.5,45.0,19.3,7.7,91.0,1.3,0.0
2024-01-19 05:40:00,0,0.00,45.7,100,2.5,45.0,19.3,7.7,91.0,1.3,0.0
2024-01-19 05:50:00,0,0.00,45.7,100,2.5,45.0,19.31,7.7,91.0,1.3,0.0
2024-01-19 06:00:00,0,0.00,45.1,100,1.2,45.25,19.31,7.0,99.0,3.4,0.0
2024-01-19 06:10:00,0,0.00,45.1,100,1.2,45.25,19.31,7.0,99.0,3.4,0.0
2024-01-19 06:20:00,0,0.00,45.1,100,1.2,45.25,19.31,7.0,99.0,3.4,0.0
2024-01-19 06:30:00,0,0.00,45.1,100,1.2,45.25,19.31,7.0,99.0,3.4,0.0
2024-01-19 06:40:00,0,0.00,45.1,100,1.2,45.25,19.3,7.0,99.0,3.4,0.0
2024-01-19 06:50:00,0,0.00,45.1,100,1.2,45.25,19.31,7.0,99.0,3.4,0.0
2024-01-19 07:00:00,0,0.00,44.8,100,2.2,45.25,19.31,8.0,100.0,3.9,0.0
2024-01-19 07:10:00,0,0.00,44.8,100,2.2,45.25,19.31,8.0,100.0,3.9,0.0
2024-01-19 07:20:00,0,0.00,44.8,100,2.2,45.25,19.31,8.0,100.0,3.9,0.0
2024-01-19 07:30:00,0,0.00,44.8,100,2.2,45.25,19.31,8.0,100.0,3.9,0.0
2024-01-19 07:40:00,0,0.00,44.8,100,2.2,45.25,19.31,8.0,100.0,3.9,0.0
2024-01-19 07:50:00,0,0.00,44.8,100,2.2,45.25,19.31,8.0,100.0,3.9,0.0
2024-01-19 08:00:00,0,0.00,46.1,100,1.1,45.25,19.31,9.1,100.0,6.9,0.0
2024-01-19 08:10:00,0,0.00,46.1,100,1.1,45.25,19.31,9.1,100.0,6.9,0.0
2024-01-19 08:20:00,0,0.00,46.1,100,1.1,45.25,19.31,9.1,100.0,6.9,0.0
2024-01-19 08:30:00,0,0.00,46.1,100,1.1,45.25,19.32,9.1,100.0,6.9,0.0
2024-01-19 08:40:00,0,0.00,46.1,100,1.1,45.25,19.43,9.1,100.0,6.9,0.0
2024-01-19 08:50:00,0,0.00,46.1,100,1.1,45.25,19.44,9.1,100.0,6.9,0.0
2024-01-19 09:00:00,0,0.00,49.2,99,1.2,45.25,19.44,9.8,100.0,8.6,0.0
2024-01-19 09:10:00,0,0.00,49.2,99,1.2,45.25,19.45,9.8,100.0,8.6,0.0
2024-01-19 09:20:00,0,0.00,49.2,99,1.2,45.25,19.57,9.8,100.0,8.6,0.0
