date,sat,precip,temp,hum,wind,soil,temp_f,hum_f,precip_f,wind_f,OT
2022-01-19 11:00:00,0,0.0,57.3,90.0,2.6,28.875,56.48,54.0,0.0,1.5,20.79833333333333
2022-01-19 11:10:00,0,0.0,57.3,90.0,2.6,28.875,56.48,54.0,0.0,1.5,20.76
2022-01-19 11:20:00,0,0.0,57.3,90.0,2.6,28.875,56.48,54.0,0.0,1.5,20.73944444444444
2022-01-19 11:30:00,0,0.0,57.3,90.0,2.6,28.875,56.48,54.0,0.0,1.5,20.74333333333333
2022-01-19 11:40:00,0,0.0,57.3,90.0,2.6,28.875,56.48,54.0,0.0,1.5,20.69555555555556
2022-01-19 11:50:00,0,0.0,57.3,90.0,2.6,28.875,56.48,54.0,0.0,1.5,20.62611111111111
2022-01-19 12:00:00,0,0.0,59.3,80.0,2.3,28.75,59.540000000000006,50.0,0.0,2.7,20.63722222222222
2022-01-19 12:10:00,0,0.0,59.3,80.0,2.3,28.75,59.540000000000006,50.0,0.0,2.7,20.65111111111111
2022-01-19 12:20:00,0,0.0,59.3,80.0,2.3,28.75,59.540000000000006,50.0,0.0,2.7,20.656111111111112
2022-01-19 12:30:00,0,0.0,59.3,80.0,2.3,28.75,59.540000000000006,50.0,0.0,2.7,20.64777777777778
2022-01-19 12:40:00,0,0.0,59.3,80.0,2.3,28.75,59.540000000000006,50.0,0.0,2.7,20.63611111111111
2022-01-19 12:50:00,0,0.0,59.3,80.0,2.3,28.75,59.540000000000006,50.0,0.0,2.7,20.625555555555557
2022-01-19 13:00:00,0,0.0,61.2,73.0,2.5,28.75,61.52,47.0,0.0,4.0,20.61277777777778
2022-01-19 13:10:00,0,0.0,61.2,73.0,2.5,28.75,61.52,47.0,0.0,4.0,20.590555555555557
2022-01-19 13:20:00,0,0.0,61.2,73.0,2.5,28.75,61.52,47.0,0.0,4.0,20.577222222222225
2022-01-19 13:30:00,0,0.0,61.2,73.0,2.5,28.75,61.52,47.0,0.0,4.0,20.57444444444444
2022-01-19 13:40:00,0,0.0,61.2,73.0,2.5,28.75,61.52,47.0,0.0,4.0,20.558333333333334
2022-01-19 13:50:00,0,0.0,61.2,73.0,2.5,28.75,61.52,47.0,0.0,4.0,20.53944444444444
2022-01-19 14:00:00,0,0.0,62.3,65.0,2.8,28.5,62.78,43.0,0.0,6.0,20.52777777777778
2022-01-19 14:10:00,0,0.0,62.3,65.0,2.8,28.5,62.78,43.0,0.0,6.0,20.516111111111112
2022-01-19 14:20:00,0,0.0,62.3,65.0,2.8,28.5,62.78,43.0,0.0,6.0,20.51
2022-01-19 14:30:00,0,0.0,62.3,65.0,2.8,28.5,62.78,43.0,0.0,6.0,20.50611111111111
2022-01-19 14:40:00,0,0.0,62.3,65.0,2.8,28.5,62.78,43.0,0.0,6.0,20.495555555555555
2022-01-19 14:50:00,0,0.0,62.3,65.0,2.8,28.5,62.78,43.0,0.0,6.0,20.480555555555554
2022-01-19 15:00:00,0,0.0,63.1,58.0,1.8,28.5,62.6,42.0,0.0,6.6,20.47833333333333
2022-01-19 15:10:00,0,0.0,63.1,58.0,1.8,28.5,62.6,42.0,0.0,6.6,20.473888888888887
2022-01-19 15:20:00,0,0.0,63.1,58.0,1.8,28.5,62.6,42.0,0.0,6.6,20.46444444444444
2022-01-19 15:30:00,0,0.0,63.1,58.0,1.8,28.5,62.6,42.0,0.0,6.6,20.45611111111111
2022-01-19 15:40:00,0,0.0,63.1,58.0,1.8,28.5,62.6,42.0,0.0,6.6,20.452222222222225
2022-01-19 15:50:00,0,0.0,63.1,58.0,1.8,28.5,62.6,42.0,0.0,6.6,20.447777777777777
2022-01-19 16:00:00,0,0.0,61.7,59.0,2.0,28.5,60.8,46.0,0.0,7.7,20.445000000000004
2022-01-19 16:10:00,0,0.0,61.7,59.0,2.0,28.5,60.8,46.0,0.0,7.7,20.44
2022-01-19 16:20:00,0,0.0,61.7,59.0,2.0,28.5,60.8,46.0,0.0,7.7,20.435
2022-01-19 16:30:00,0,0.0,61.7,59.0,2.0,28.5,60.8,46.0,0.0,7.7,20.43388888888889
2022-01-19 16:40:00,0,0.0,61.7,59.0,2.0,28.5,60.8,46.0,0.0,7.7,20.435
2022-01-19 16:50:00,0,0.0,61.7,59.0,2.0,28.5,60.8,46.0,0.0,7.7,20.43166666666667
2022-01-19 17:00:00,0,0.0,56.5,74.0,1.0,28.0,56.3,58.0,0.0,6.6,20.42944444444445
2022-01-19 17:10:00,0,0.0,56.5,74.0,1.0,28.0,56.3,58.0,0.0,6.6,20.427777777777777
2022-01-19 17:20:00,0,0.0,56.5,74.0,1.0,28.0,56.3,58.0,0.0,6.6,20.433888888888887
2022-01-19 17:30:00,0,0.0,56.5,74.0,1.0,28.0,56.3,58.0,0.0,6.6,20.439444444444444
2022-01-19 17:40:00,0,0.0,56.5,74.0,1.0,28.0,56.3,58.0,0.0,6.6,20.44388888888889
2022-01-19 17:50:00,0,0.0,56.5,74.0,1.0,28.0,56.3,58.0,0.0,6.6,20.442222222222224
2022-01-19 18:00:00,0,0.0,50.9,99.0,1.0,28.0,50.9,72.0,0.0,6.3,20.44388888888889
2022-01-19 18:10:00,0,0.0,50.9,99.0,1.0,28.0,50.9,72.0,0.0,6.3,20.453333333333333
2022-01-19 18:20:00,0,0.0,50.9,99.0,1.0,28.0,50.9,72.0,0.0,6.3,20.462777777777777
2022-01-19 18:30:00,0,0.0,50.9,99.0,1.0,28.0,50.9,72.0,0.0,6.3,20.465
2022-01-19 18:40:00,0,0.0,50.9,99.0,1.0,28.0,50.9,72.0,0.0,6.3,20.45888888888889
2022-01-19 18:50:00,0,0.0,50.9,99.0,1.0,28.0,50.9,72.0,0.0,6.3,20.455555555555552
2022-01-19 19:00:00,0,0.0,48.4,100.0,1.2,28.25,49.1,74.0,0.0,6.0,20.454444444444444
2022-01-19 19:10:00,0,0.0,48.4,100.0,1.2,28.25,49.1,74.0,0.0,6.0,20.453888888888887
2022-01-19 19:20:00,0,0.0,48.4,100.0,1.2,28.25,49.1,74.0,0.0,6.0,20.453888888888887
2022-01-19 19:30:00,0,0.0,48.4,100.0,1.2,28.25,49.1,74.0,0.0,6.0,20.462222222222223
2022-01-19 19:40:00,0,0.0,48.4,100.0,1.2,28.25,49.1,74.0,0.0,6.0,20.47111111111111
2022-01-19 19:50:00,0,0.0,48.4,100.0,1.2,28.25,49.1,74.0,0.0,6.0,20.475
2022-01-19 20:00:00,0,0.0,46.4,100.0,1.0,28.25,47.66,79.0,0.0,5.4,20.472222222222214
2022-01-19 20:10:00,0,0.0,46.4,100.0,1.0,28.25,47.66,79.0,0.0,5.4,20.469444444444445
